section,online,rear car,num of add alart,flame size,adjacent car,Water
1,1,2,3,2,2,41
4,1,4,2,2,3,3
3.5,1,2,2,3,1,3
3.5,1,1,2,1,1,21
2.5,1,1,2,1,1,3
3.5,1,1,1,1,1,2
3,1,4,2,3,1,32
3,1,3,3,2,3,3
1.5,1,1,2,1,1,43
2,1,3,3,3,1,1
4,1,4,3,3,2,4
5,1,1,2,1,1,21
1,1,4,2,2,3,43
4,1,2,2,1,3,3
2,0,1,4,1,1,43
4.5,1,3,3,2,1,4
2.5,1,1,1,1,1,32
1,1,3,3,1,2,54
4.5,1,4,3,1,1,4
1,1,4,3,3,2,54
3.5,1,2,3,1,2,32
3,1,2,3,3,3,32
4,1,2,3,2,2,3
5,1,1,4,1,1,10
3,0,1,2,1,1,3
2,1,4,3,2,1,32
1.5,1,1,4,1,1,32
2.5,1,4,2,2,2,32
3,0,1,1,1,1,21
2,1,4,2,1,2,32
1,1,2,3,2,2,3
4,1,4,2,2,3,3
3.5,1,2,2,3,1,32
3.5,1,1,2,1,1,2
2.5,1,1,2,1,1,2
3.5,1,1,1,1,1,2
3,1,4,2,3,1,2
3,1,3,3,2,3,2
1.5,1,1,2,1,1,21
2,1,3,3,3,1,2
4,1,4,3,3,2,21
5,1,1,2,1,1,1
1,1,4,2,2,3,21
4,1,2,2,1,3,21
2,0,1,4,1,1,1
4.5,1,3,3,2,1,3
2.5,1,1,1,1,1,2
1,1,3,3,1,2,32
4.5,1,4,3,1,1,32
1,1,4,3,3,2,32
3.5,1,2,3,1,2,32
3,1,2,3,3,3,21
4,1,2,3,2,2,21
5,1,1,4,1,1,10
3,0,1,2,1,1,21
2,1,4,3,2,1,3
1.5,1,1,4,1,1,2
2.5,1,4,2,2,2,3
3,0,1,1,1,1,1
2,1,4,2,1,2,3
1,1,2,3,2,2,21
4,1,4,2,2,3,21
3.5,1,2,2,3,1,32
3.5,1,1,2,1,1,21
2.5,1,1,2,1,1,21
3.5,1,1,1,1,1,1
3,1,4,2,3,1,21
3,1,3,3,2,3,21
1.5,1,1,2,1,1,2
2,1,3,3,3,1,21
4,1,4,3,3,2,21
5,1,1,2,1,1,1
1,1,4,2,2,3,21
4,1,2,2,1,3,21
2,0,1,4,1,1,21
4.5,1,3,3,2,1,31
2.5,1,1,1,1,1,1
1,1,3,3,1,2,21
4.5,1,4,3,1,1,31
1,1,4,3,3,2,21
3.5,1,2,3,1,2,31
3,1,2,3,3,3,21
4,1,2,3,2,2,21
5,1,1,4,1,1,1
3,0,1,2,1,1,21
2,1,4,3,2,1,21
1.5,1,1,4,1,1,21
2.5,1,4,2,2,2,32
3,0,1,1,1,1,1
2,1,4,2,1,2,21
5,1,2,3,1,1,32
3.5,1,3,3,3,2,21
3,0,1,4,1,1,21
3.5,1,4,2,1,1,21
1.5,1,4,2,3,3,31
3,1,4,3,1,3,21
2.5,1,3,2,3,2,32
1.5,1,2,2,2,3,31
1,1,2,2,1,3,31
4.5,1,1,2,1,1,21
5,1,1,3,1,1,21
3.5,1,1,3,1,1,21
2.5,1,1,3,1,1,21
3,1,2,2,2,1,32
3.5,1,3,2,2,1,32
4.5,1,2,2,2,3,32
4.5,1,1,4,1,1,21
5,1,4,3,2,1,32
4,1,3,3,1,2,32
1.5,1,3,3,2,1,43
4.5,1,1,3,1,1,21
4,0,1,3,1,1,21
2.5,1,3,3,1,3,43
1,0,1,3,1,1,21
4,0,1,4,1,1,21
1,0,1,1,1,1,2
3,0,1,3,1,1,21
2,0,1,1,1,1,1
3.5,1,1,4,1,1,21
5,1,2,3,1,1,3
3.5,1,3,3,3,2,3
3,0,1,4,1,1,4
3.5,1,4,2,1,1,4
1.5,1,4,2,3,3,5
3,1,4,3,1,3,3
2.5,1,3,2,3,2,4
1.5,1,2,2,2,3,4
1,1,2,2,1,3,4
4.5,1,1,2,1,1,3
5,1,1,3,1,1,1
3.5,1,1,3,1,1,3
2.5,1,1,3,1,1,3
3,1,2,2,2,1,3
3.5,1,3,2,2,1,3
4.5,1,2,2,2,3,4
2,0,1,3,1,1,3
4.5,1,1,4,1,1,3
5,1,4,3,2,1,4
4,1,3,3,1,2,4
1.5,1,3,3,2,1,4
4.5,1,1,3,1,1,3
4,0,1,3,1,1,2
2.5,1,3,3,1,3,4
1,0,1,3,1,1,1
4,0,1,4,1,1,2
1,0,1,1,1,1,1
3,0,1,3,1,1,21
2,0,1,1,1,1,1
3.5,1,1,4,1,1,3
3,0,1,4,1,1,2
4.5,1,1,2,1,1,2
5,1,1,3,1,1,1
3.5,1,1,3,1,1,2
2.5,1,1,3,1,1,2
2,0,1,3,1,1,2
4.5,1,1,4,1,1,2
4.5,1,1,3,1,1,2
4,0,1,3,1,1,1
1,0,1,3,1,1,1
4,0,1,4,1,1,1
1,0,1,1,1,1,1
3,0,1,3,1,1,2
2,0,1,1,1,1,1
3.5,1,1,4,1,1,2
3.5,1,4,3,2,2,21
1.5,1,1,1,1,1,32
1.5,1,3,3,2,1,32
2,0,1,3,1,1,32
4,1,2,3,2,2,2
3,1,2,2,2,1,32
3.5,1,1,4,1,1,32
3,0,1,1,1,1,21
4.5,1,1,2,1,1,21
2.5,1,3,2,3,2,32
5,1,2,2,3,2,32
4,1,4,2,2,3,3
3,0,1,5,1,1,2
2,1,3,3,3,1,32
5,1,1,5,1,1,10
3.5,1,2,3,1,2,32
4.5,1,4,2,3,3,3
4,0,1,5,1,1,21
2.5,1,1,2,1,1,21
1.5,1,4,3,1,1,32
3,0,1,3,1,1,32
1,0,1,6,1,1,1
1.5,1,1,5,1,1,21
2,1,4,2,1,2,32
2.5,1,4,2,2,2,32
4,0,1,6,1,1,21
2,1,2,2,3,2,32
4,0,1,4,1,1,21
4.5,1,2,3,3,1,32
5,1,4,2,1,2,21
3.5,1,1,3,1,1,32
5,1,3,2,2,2,32
3,1,3,2,1,1,32
2.5,1,1,3,1,1,32
2.5,1,4,3,3,3,32
4.5,1,1,5,1,1,21
4.5,1,4,2,3,3,32
2,1,2,3,1,1,2
2,1,3,2,2,2,2
5,1,4,2,1,2,2
1,1,3,2,3,3,2
2,0,1,4,1,1,1
2.5,1,4,3,3,3,3
5,1,3,2,2,2,2
3,1,3,2,1,1,2
5,1,3,3,3,1,2
4.5,1,1,1,1,1,1
1,0,1,4,1,1,1
2.5,1,2,2,1,2,2
2.5,1,2,3,2,3,3
2.5,1,1,4,1,1,2
4,0,1,1,1,1,1
4,1,3,2,3,3,2
4.5,1,2,3,3,1,3
1.5,1,1,1,1,1,2
1,0,1,2,1,1,1
3.5,1,4,3,2,2,3
3.5,1,2,2,3,1,3
1.5,1,1,3,1,1,2
2,1,2,2,3,2,2
4,0,1,2,1,1,1
1.5,1,3,2,1,3,3
1.5,1,4,3,1,1,3
5,1,1,1,1,1,1
4,1,3,2,3,3,3
2,0,1,2,1,1,2
4.5,1,4,2,3,3,4
2,1,2,3,1,1,3
2,1,3,2,2,2,3
5,1,4,2,1,2,3
1,1,3,2,3,3,3
2,0,1,4,1,1,2
2.5,1,4,3,3,3,3
5,1,3,2,2,2,3
3,1,3,2,1,1,2
5,1,3,3,3,1,3
4.5,1,1,1,1,1,2
1,0,1,4,1,1,2
2.5,1,2,2,1,2,3
2.5,1,2,3,2,3,3
2.5,1,1,4,1,1,3
4,0,1,1,1,1,2
4,1,3,2,3,3,3
4.5,1,2,3,3,1,4
1.5,1,1,1,1,1,3
1,0,1,2,1,1,1
3.5,1,4,3,2,2,3
3.5,1,2,2,3,1,3
1.5,1,1,3,1,1,2
2,1,2,2,3,2,3
4,0,1,2,1,1,2
1.5,1,3,2,1,3,3
1.5,1,4,3,1,1,4
5,1,1,1,1,1,1
4,1,3,2,3,3,4
2,0,1,2,1,1,2
